ER53001,ER53002,ER53017,ER53019,ER53023,ER53935,ER54309,ER58223,ER58224
4,7517,59,0,4,30000,0,14,0
4,8684,55,0,4,0,0,11,0
4,8434,37,0,2,0,0,10,0
4,8569,25,0,2,1500,0,12,0
4,2176,28,0,5,22000,0,9,0
4,7300,41,39,1,36400,0,9,12
4,8687,36,0,4,40000,0,11,0
4,8329,37,34,1,44000,26000,13,12
4,5963,21,21,1,5856,138,12,12
4,8698,32,23,1,23000,0,11,12
4,4618,67,0,3,0,0,10,0
4,7139,51,48,1,32433,0,12,13
4,6170,46,41,4,31200,13000,10,12
4,8024,28,0,4,32700,0,12,0
4,5048,40,28,1,327250,0,17,14
4,1528,57,47,3,26000,0,10,12
4,3461,91,0,3,0,0,12,0
4,1195,58,57,1,145000,250,17,16
4,3571,38,38,1,110000,24000,16,16
4,8860,33,31,1,105000,15000,17,16
4,9021,31,32,1,95000,0,16,99
4,3221,28,0,2,0,0,17,0
4,2662,68,64,1,24200,22000,11,13
4,1612,39,40,1,86428,71068,16,16
4,6441,59,0,5,0,0,12,0
4,2820,57,0,4,30000,0,9,0
4,4526,55,32,4,0,17000,11,12
4,3305,39,39,1,6000,0,11,12
4,6774,38,46,4,24000,0,11,12
4,6118,38,0,4,13485,0,11,0
4,4775,36,34,1,32000,0,10,14
4,5796,32,0,5,50,0,12,0
4,5855,32,29,1,7200,28,11,11
4,5991,29,28,1,11000,0,12,12
4,6276,25,42,2,9999998,9999998,12,99
4,6202,21,22,2,15000,13000,14,12
4,8581,21,0,2,12000,0,10,0
4,8359,20,0,2,650,0,9,0
4,3387,43,39,1,0,16640,99,11
4,4127,24,23,2,43225,0,12,12
4,7355,52,41,1,0,9999998,12,12
4,8696,20,20,1,16640,0,12,12
4,866,69,0,4,3600,0,15,0
4,7473,49,0,5,21600,0,14,0
4,2351,47,0,2,22100,0,14,0
4,6294,66,51,1,0,0,14,11
4,6697,37,0,2,1400,0,11,0
4,6082,46,42,1,48000,120000,16,17
4,7423,27,22,2,2000,6000,15,13
4,208,94,0,3,0,0,12,0
4,155,60,0,4,9999999,0,14,0
4,177,84,82,1,0,0,10,12
4,1002,62,0,4,0,0,15,0
4,1596,64,61,1,0,0,14,13
4,4715,38,35,1,150000,3000,14,16
4,2065,49,46,1,0,33570,11,12
4,6491,27,0,2,25000,0,14,0
4,1284,25,0,2,0,0,12,0
4,1865,51,56,1,64000,25000,17,14
4,851,75,0,4,0,0,13,0
4,7087,51,0,5,18000,0,15,0
4,1163,50,50,1,4800,1800,13,15
4,8959,23,0,2,38000,0,12,0
4,5453,33,29,1,28000,19000,14,12
4,6557,91,0,3,0,0,12,0
4,5149,56,51,1,39289,30077,12,12
4,6835,60,59,1,0,64000,12,17
4,4153,60,0,4,41000,0,12,0
4,3172,66,65,1,0,0,13,14
4,7941,41,44,1,0,42000,15,17
4,5977,40,0,3,45000,0,99,0
4,7190,48,58,1,138000,0,16,12
4,7557,37,38,1,96000,0,12,14
4,6183,29,32,1,8000,0,12,12
4,7500,36,33,1,130000,115000,16,17
4,217,80,0,3,0,0,14,0
4,18,61,0,2,0,0,12,0
4,496,60,0,3,15000,0,12,0
4,2554,31,0,2,12500,0,15,0
4,2425,28,30,1,9600,38000,10,12
4,198,80,0,4,0,0,10,0
4,1231,55,0,4,25000,0,13,0
4,358,48,0,4,24000,0,12,0
4,759,47,0,4,49000,0,14,0
4,1415,21,0,2,10000,0,14,0
4,1169,63,0,4,92000,0,16,0
4,1255,43,0,2,104000,0,16,0
4,8607,42,33,2,0,53500,13,15
4,7354,66,66,1,0,73000,16,16
4,2990,67,66,1,2000,55000,16,14
4,2389,68,65,1,0,9999999,16,16
4,4992,46,0,4,19000,0,12,0
4,4968,42,41,1,66000,43000,15,16
4,4208,41,0,2,0,0,16,0
4,12,79,0,3,0,0,12,0
4,4976,52,52,1,51000,35000,12,14
4,998,51,0,4,0,0,5,0
4,234,50,0,4,77000,0,17,0
4,1306,31,0,2,0,0,8,0
4,8836,30,0,4,58000,0,16,0
4,2896,27,32,1,12000,20000,10,14
4,7726,26,0,2,38000,0,16,0
4,2106,22,0,4,18000,0,12,0
4,3380,43,45,1,72000,52000,12,17
4,6418,42,43,1,50000,25000,13,17
4,4973,35,33,1,23000,53000,12,17
4,4889,50,31,4,51075,0,13,16
4,5300,57,54,1,0,11000,11,14
4,8432,33,37,1,39000,30000,11,16
4,3948,36,0,4,0,0,9,0
4,5837,32,35,1,87000,18000,16,16
4,650,58,54,1,0,0,9,10
4,7294,33,0,4,32000,0,12,0
